番号,关键词,重要要点,补充信息
1,循环型社会形成推进基本法,"为审视大量生产、大量消费、大量废弃型社会，于2000年制定",
2,3R理念,"Reuse（再使用）、Reduce（减量）、Recycle（再资源化）",
3,古物营业定义,"3种：①古物商 ②古物市场主 ③古物拍卖中介","①②需要公安委员会许可，③需要申报"
8,古物定义,"使用过一次的物品、未使用但为使用目的交易的物品等","包括礼品券、邮票、美术品"
9,古物分类,"分为13种。变更时需在14天内申报",
10,无证经营处罚,"3年以下有期徒刑或100万日元以下罚款",
19,不合格事由,"破产者（复权前）、被判处监禁以上刑罚者、暴力团成员等不能获得许可",
21,管理者设置,"每个营业所设置1名管理者。变更申报14天内",
23,许可证归还,"停业时10天内归还。违反处10万日元以下罚款",
26,身份确认原则,"1次收购总额1万日元以上时为义务",
27,1万日元以下也需确认的物品,"游戏软件、CD/DVD、书籍、摩托车/原付","因盗窃等被害多而例外需要"
32,赃物申报义务,"怀疑是赃物等时，必须立即向警察申报",
33,仿冒品销售,"明知是假货仍销售可能构成诈骗罪（10年以下有期徒刑）","商标法违反：5年以下有期徒刑或500万日元以下罚款"
36,网络营业申报,"URL开始或变更需在14天内申报",
39,销售时需要记录的物品,"1万日元以上的美术品、手表/珠宝、汽车、摩托车/原付",
42,营业限制（行商）,"临时店铺收购需提前3天向警察署申报即可",
47,冷静期,"上门收购时，合同后8天内可无条件解除",
52,警察权限,"①发行品触 ②扣押（30天内保管命令） ③现场检查",
56,赃物/遗失物回复,"被害者2年内可要求无偿归还（古物商在拍卖会购入时需代价补偿）",
64,家电4品目,"空调、电视、冰箱/冷冻柜、洗衣机/烘干机","《家电回收法》对象"
67,PSC标志制度,"家用压力锅、头盔、登山绳、煤油炉等没有标志不能销售",