question,option1,option2,option3,option4,answer,explanation
[cite_start]"循環型社会形成推進基本法に基づき提唱された「3R」に含まれないものはどれか？","Recycle（再生利用）","Reuse（再使用）","Reduce（発生抑制）","Refuse（拒否）",3,"3RはReduce、Reuse、Recycleの3つです。[cite: 1]"
[cite_start]"古物営業法における「変更の届出」は、変更があった日から何日以内に行わなければならないか？","7日以内","10日以内","14日以内","30日以内",2,"変更日から14日以内に公安委員会に届け出る必要があります。[cite: 2]"
[cite_start]"買取総額が1万円未満であっても、本人確認義務が免除されない（必ず確認が必要な）品目はどれか？","衣類","ゲームソフト","家具","雑貨",1,"ゲームソフト、書籍、CD/DVD、自動二輪車などは、1万円未満でも本人確認が必須です。[cite: 7]"
[cite_start]"古物商が営業を廃止した場合、許可証はいつまでに返納しなければならないか？","直ちに","10日以内","14日以内","30日以内",1,"廃業等の理由が生じた日から10日以内に返納する必要があります。[cite: 4]"
[cite_start]"無許可で古物営業を行った場合の罰則として正しいものはどれか？","1年以下の懲役または50万円以下の罰金","3年以下の懲役または100万円以下の罰金","6ヶ月以下の懲役または30万円以下の罰金","罰則はない",1,"無許可営業は最も重い罰則の一つで、3年以下の懲役または100万円以下の罰金です。[cite: 2]"
[cite_start]"古物営業法で定義される「古物」の13区分に含まれないものはどれか？","美術品類","自動車","医療機器","書籍",2,"医療機器は古物の13区分には含まれません。[cite: 2]"
[cite_start]"古物商の許可を受けられない「欠格事由」に該当するものはどれか？","外国籍である","住居不定者","借金がある","過去に交通違反をした",1,"「住居不定者」は欠格事由に該当し、許可を受けられません。[cite: 2]"
[cite_start]"営業所の「管理者」に関する記述として正しいものはどれか？","未成年者でもなることができる","店舗ごとに1名選任する必要がある","管理者は兼任ですべての店舗を見ることができる","資格試験の合格が必須である",1,"営業所（店舗）ごとに1名の管理者を置くことが義務付けられています。[cite: 4]"
[cite_start]"複数の区分の古物を扱う場合、店舗に掲示する「標識（プレート）」には何を記載すべきか？","取り扱うすべての区分","主として取り扱う1つの区分","売り上げが最も高い区分","記載は任意である",1,"2つ以上の区分を取り扱う場合は、「主として取り扱う古物に係る区分の1つのみ」を表記します。[cite: 4]"
[cite_start]"古物の買取時、原則として本人確認義務が発生する金額（総額）はいくらか？","1,000円以上","3,000円以上","5,000円以上","1万円以上",3,"原則として、一回の買取総額が「1万円以上」の場合に本人確認が必要です。[cite: 5]"
[cite_start]"買取総額が1万円未満でも、本人確認が必要な「例外品目」に含まれるものはどれか？","衣類","ブランドバッグ","書籍（本）","家具",2,"書籍、ゲームソフト、CD/DVD、自動二輪車（原付含む）は、1万円未満でも本人確認が必須です。[cite: 5]"
[cite_start]"対面での本人確認において、相手に記入してもらう「署名」に必要な項目はどれか？","氏名のみ","氏名・電話番号","住所・氏名・職業・年齢","住所・氏名・生年月日",2,"住所・氏名・職業・年齢の4項目を帳簿等に記入してもらう必要があります。[cite: 5]"
[cite_start]"不正品（盗品など）の疑いがある古物を発見した場合、とるべき対応は？","直ちに警察官に申告する","買取を拒否して客を帰す","一旦預かって様子を見る","同業者に相談する",0,"不正品ではないかと疑いを持った場合には、直ちに警察へ申告する義務があります。[cite: 5]"
[cite_start]"偽ブランド品（コピー品）と知りながら販売した場合に問われる罪はどれか？","窃盗罪","横領罪","詐欺罪","器物損壊罪",2,"偽物と知っていながら販売した場合、詐欺罪（10年以下の懲役）にあたります。[cite: 5]"
[cite_start]"インターネットで古物営業を行う際、ホームページに表示しなければならない許可番号の桁数は？","8桁","10桁","12桁","13桁",2,"公安委員会の名称と共に、12桁の許可証番号を表示する必要があります。[cite: 6]"
[cite_start]"インターネットでの古物営業を開始・変更・終了する場合、公安委員会への届出期限は？","開始等の3日前まで","開始等の日から1週間以内","開始等の日から14日以内","開始等の日から30日以内",2,"URLの届出や変更は、開始または変更後14日以内に行う必要があります。[cite: 5]"
[cite_start]"古物を「販売」する際に、相手の住所・氏名等の記録義務がある品目はどれか？","衣類","1万円以上の時計・宝飾品","家具・家電","すべての古物",1,"販売時に記録が必要なのは、美術品類、時計・宝飾品類、自動車、自動二輪車などです。[cite: 6]"
[cite_start]"顧客の自宅などを訪問して買取を行う「行商」をする際に携帯必須なものは？","住民票の写し","古物許可証（または行商従業者証）","名刺","印鑑証明書",1,"行商を行う場合、許可証または行商従業者証を携帯する必要があります。[cite: 6]"
[cite_start]"「仮設店舗」を出して買取を行う場合、管轄警察署への届出期限は？","当日まで","前日まで","3日前まで","1週間前まで",2,"場所を管轄する警察署に、営業日の3日前までに日時・場所の届出をする必要があります。[cite: 6]"
[cite_start]"訪問購入（押し買い）において、クーリング・オフが適用される期間は？","契約から3日間","契約から8日間","契約から14日間","契約から30日間",1,"売買契約を結んだ後でも、書面受領日から8日間は無条件で申し込みの撤回が可能です。[cite: 6]"
[cite_start]"訪問購入の規制対象外（クーリング・オフできないもの）に含まれる品目は？","貴金属","ブランドバッグ","着物","家具",3,"家具、大型家電、書籍、CD/DVD等は規制対象外となります。[cite: 6]"
[cite_start]"警察から手配書として回ってくる「品触れ（しなぶれ）」の保存期間は？","3ヶ月","6ヶ月","1年","3年",1,"品触れを受け取ったら、受取日を記載し6ヶ月間保存する義務があります。[cite: 7]"
[cite_start]"買い取った品物が盗品だった場合、被害者が無償で返還請求できる期間は？","盗難から1年","盗難から2年","盗難から3年","盗難から5年",1,"盗難または遺失の時から2年間、被害者は古物商に対し無償で返還を請求できます。[cite: 8]"
[cite_start]"古物商許可証の「書換え」が必要ないケースはどれか？","営業所の名称変更","管理者の変更","代表者の住所変更","法人の代表者変更",1,"管理者の変更は「変更の届出」で足りますが、許可証自体の書換えにはあたりません。[cite: 4]"
[cite_start]"次のうち、古物営業法違反で「営業停止処分」の対象となり得るのはどれか？","許可証を携帯せずに行商した","指示処分に従わなかった","帳簿の字が汚かった","客に挨拶をしなかった",1,"指示処分に従わなかった場合などは営業停止処分の対象となります。[cite: 8]"
[cite_start]"非対面（宅配買取など）での本人確認方法として、認められていないものはどれか？","本人限定受取郵便を送付して到達を確認する","住民票の写しの送付を受ける（転送不要郵便）","電子署名付きメールの送信を受ける","免許証のコピーのみを送付してもらう",3,"免許証のコピーを送ってもらうだけでは不十分で、簡易書留の送付などと組み合わせる必要があります。[cite: 5]"
[cite_start]"帳簿（取引記録）を紛失したり、き損してしまった場合の対応として正しいものは？","直ちに警察署長に届け出る","見つかるまで営業を自粛する","再発行した新しい帳簿に記憶で書き直す","特に何もしなくてよい",0,"帳簿などを紛失等したときは、直ちに警察署長に届け出る義務があります。[cite: 9]"
[cite_start]"古物商が「競売（オークション）」で善意（盗品と知らず）に買い受けた品物が盗品だった場合、被害者からの返還請求に対してどう主張できるか？","返還の義務はない","無償で返還しなければならない","古物商が支払った代価を弁償してもらえば返還する","半額を支払ってもらえば返還する",2,"競売や公の市場で購入した場合は、1年以内に限り、支払った代価の弁償を受けることを条件に返還に応じます。[cite: 9]"
[cite_start]"警察本部長等が発する「品触れ（手配書）」に関する記述で、誤っているものはどれか？","受け取ったら受取日を記載する","6ヶ月間保存しなければならない","該当する古物を持っていたら直ちに届け出る","保存義務違反は営業停止処分のみで罰則はない",3,"品触書の保存義務違反は、6ヶ月以下の懲役または30万円以下の罰金に処せられる可能性があります。[cite: 8]"
[cite_start]"警察職員による営業所への「立入り調査」について、正しい記述はどれか？","営業者の許可がないと立入りできない","事前通告がなければ拒否できる","拒否した場合、10万円以下の罰金となる可能性がある","裁判所の令状がなければ拒否できる",2,"警察の立入り調査に拒否権はなく、拒否・妨害した場合は10万円以下の罰金となります。[cite: 8]"
[cite_start]"警察本部長等から盗品の疑いがある古物の「差止め（保管命令）」を受けた場合、その期間は最大でどれくらいか？","10日間","30日間","60日間","90日間",1,"差止め（保管命令）の期間は30日以内と定められています。[cite: 8]"
[cite_start]"次のうち、「特定家庭用機器再商品化法（家電リサイクル法）」の対象となる4品目に含まれないものは？","家庭用エアコン","電子レンジ","電気冷蔵庫","電気洗濯機",1,"家電4品目は、エアコン、テレビ、冷蔵庫・冷凍庫、洗濯機・衣類乾燥機です。電子レンジは対象外です。[cite: 9]"
[cite_start]"パソコンを廃棄する際、「PCリサイクルマーク」が付いている製品の処理はどうなるか？","新たな料金負担なくメーカーが回収する","粗大ゴミとして自治体に出せる","リサイクル料金を郵便局で支払う必要がある","販売店が必ず買い取らなければならない",0,"PCリサイクルマークがついたパソコンは、廃棄時に新たな料金負担はなく回収が可能です。[cite: 9]"
[cite_start]"消費生活用製品安全法における「PSCマーク（特定製品）」がないと販売できない品目はどれか？","自転車","家庭用圧力鍋","ガスコンロ","電気スタンド",1,"家庭用圧力鍋や乗車用ヘルメットなどはPSCマークがないと販売できません。[cite: 11]"
[cite_start]"PSCマークのうち、ひし形の「特別特定製品」に指定されている、より危険度が高い品目はどれか？","登山用ロープ","石油ストーブ","家庭用圧力鍋","乗車用ヘルメット",1,"石油ストーブ、石油器具類、乳児用ベッドなどは「特別特定製品（ひし形）」です。[cite: 11]"
[cite_start]"犯罪収益移転防止法において、本人確認記録や取引記録の作成・保存が必要となる「ハイリスク取引」の金額基準は？","現金での受払いで100万円を超える取引","現金での受払いで200万円を超える取引","すべての貴金属取引","クレジットカードでの200万円を超える取引",1,"貴金属等の売買で、200万円を超える現金取引を行う場合に対象となります。[cite: 9]"
[cite_start]"リユースショップが顧客の自宅を訪問して買取を行う（訪問購入）際、禁止されている行為はどれか？","事前に約束した物品以外の売却を求める（飛び込み勧誘）","名刺や許可証を提示する","契約書を交付する","クーリング・オフの説明をする",0,"アポなし訪問や、約束していない物品の勧誘（不招請勧誘）は禁止されています。[cite: 7]"
[cite_start]"訪問購入において、消費者が商品を引渡すのを拒むことができる権利（引渡し拒絶権）を行使できる期間は？","契約当日のみ","契約から3日間","クーリング・オフ期間中（8日間）","代金を受け取るまで",2,"クーリング・オフ期間中は、物品の引き渡しを拒絶することができます。[cite: 8]"
[cite_start]"訪問購入の規制対象（クーリング・オフ対象）となる物品はどれか？","自動車","大型の家具","電気冷蔵庫","貴金属（指輪など）",3,"自動車、家具、家電、本、CD等は規制の適用除外ですが、貴金属は規制対象（クーリング・オフ可能）です。[cite: 8]"
[cite_start]"古物商が許可を取り消された場合、再び許可を受けられるようになるまでの期間は？","1年経過後","2年経過後","3年経過後","5年経過後",3,"許可を取り消されてから5年を経過しない者は、許可を受けることができません。[cite: 1]"
[cite_start]"次のうち、古物営業法における「古物」の定義に当てはまらないものはどれか？","一度使用された物品","使用されないが使用のために取引された物品","幾分の手入れをしたもの","本来の目的で使用できない廃品",3,"本来の目的を達することができない「廃品」は古物にはあたりません。[cite: 2]"
[cite_start]"リユースショップで販売した中古品から火が出て家が燃えた場合、「製造物責任法（PL法）」に基づいて責任を負うのは原則として誰か？","販売したリユースショップ","製品の製造業者（メーカー）","元の持ち主（買取依頼者）","国の消費者庁",1,"原則としてメーカー等の製造者に責任があります。ただし加工や輸入をした場合は対象となることがあります。[cite: 9]"
[cite_start]"個人情報保護法において、本人の同意なく個人情報を第三者に提供できるケースはどれか？","DMを送るため提携会社に渡す場合","警察からの捜査関係事項照会に応じる場合","買取履歴をウェブで公開する場合","特にない",1,"法令に基づく場合（警察の捜査など）は、本人の同意なく個人情報を提供できます。[cite: 9]"
[cite_start]"インターネットオークション事業を営む者（3号営業）が守るべき義務として正しいものは？","盗品が出品されているのを知ったら警察へ申告する","出品者の本人確認を免許証原本で行う","すべての商品を自社で買い取る","落札者にクーリング・オフを保証する",0,"競りあっせん業者は、盗品等の疑いがある場合、警察へ申告する義務（努力義務含む）があります。[cite: 2]"
[cite_start]"古物商が「行商」を行うことができる場所として、正しいものはどれか？","路上や公園","喫茶店やファミレス","取引相手（顧客）の居宅","駅の構内",2,"行商（出張買取）等は、相手方の住所や居宅で行うことが認められています。[cite: 7]"
[cite_start]"「仮設店舗」での営業を行う場合、その場所を管轄する警察署以外に、どこを経由して届出ができるか？","経由はできない","本店の所在地を管轄する公安委員会","市役所","商工会議所",1,"公安委員会の許可を受ければ、他の都道府県でも届出だけで営業できます。[cite: 2]"
[cite_start]"古物商許可証を亡失（紛失）し、再交付を受けた後に古い許可証が見つかった場合、どうすべきか？","古い方を記念に保管する","新しい方を返納する","発見した古い方を直ちに返納する","どちらか綺麗な方を返納する",2,"古い許可証を発見した場合、速やかに返納理由書を添えて返納しなければなりません。[cite: 4]"
[cite_start]"古物営業法違反の中で、「6ヶ月以下の懲役または30万円以下の罰金」に該当する行為は？","無許可営業","名義貸し","帳簿の記録義務違反","不正手段での許可取得",2,"帳簿記載義務違反や品触れ保存義務違反は、6ヶ月以下の懲役または30万円以下の罰金です。[cite: 9]"
[cite_start]"許可証の「返納」が必要となるケースとして、誤っているものはどれか？","古物営業を廃止したとき","許可を取り消されたとき","許可証の再交付を受けた後に旧証が見つかったとき","1ヶ月間営業を休止したとき",3,"単なる休止では返納義務はありません（6ヶ月以上休止すると取消対象にはなります）。[cite: 4]"
[cite_start]"古物商がホームページを開設して取引する場合、トップページに表示しなければならない情報は？","店舗の写真","従業員の氏名","公安委員会名と許可証番号","すべての在庫リスト",2,"許可を受けている公安委員会の名称と、12桁の許可証番号を表示する義務があります。[cite: 5]"