id,question_vi,option1_vi,option2_vi,option3_vi,option4_vi,explanation_vi
47,"Khi tìm thấy giấy phép cũ sau khi đã được cấp lại do mất, phải làm gì?","Giữ giấy cũ làm kỷ niệm","Trả lại giấy mới","Trả lại ngay giấy cũ tìm được","Trả lại giấy nào đẹp hơn","Khi tìm thấy giấy phép cũ, phải nhanh chóng trả lại kèm theo lý do."
48,"Vi phạm Luật kinh doanh đồ cũ nào bị phạt tù dưới 6 tháng hoặc phạt tiền dưới 300.000 yên?","Kinh doanh không phép","Cho mượn tên","Vi phạm nghĩa vụ ghi sổ sách","Lấy giấy phép bằng thủ đoạn gian dối","Vi phạm nghĩa vụ ghi sổ sách hoặc lưu giữ thông báo hàng bị phạt tù dưới 6 tháng hoặc phạt tiền dưới 300.000 yên."
49,"Trường hợp nào KHÔNG cần trả lại giấy phép?","Khi ngừng kinh doanh đồ cũ","Khi bị thu hồi giấy phép","Khi tìm thấy giấy cũ sau khi được cấp lại","Khi tạm ngừng kinh doanh 1 tháng","Chỉ tạm ngừng không cần trả lại (nhưng tạm ngừng trên 6 tháng có thể bị thu hồi)."
50,"Khi thương nhân đồ cũ mở website để giao dịch, thông tin nào phải hiển thị trên trang chủ?","Ảnh cửa hàng","Tên nhân viên","Tên Ủy ban An ninh công cộng và số giấy phép","Danh sách tất cả hàng tồn kho","Có nghĩa vụ hiển thị tên Ủy ban An ninh công cộng đã cấp phép và số giấy phép 12 chữ số."

51,"Điều nào KHÔNG thuộc đồ cũ?","Đá cảnh","Phiếu quà tặng (thương phẩm quyền)","Quần áo cũ","Máy chơi game cũ","Đá cảnh, lon rỗng, phế liệu kim loại không thuộc đồ cũ (phiếu quà tặng thuộc đồ cũ)."
52,"Việc mua hàng tạp hóa ở nước ngoài rồi bán tại cửa hàng của mình ở Nhật có phải là kinh doanh đồ cũ không?","Có (cần giấy phép)","Không (không cần giấy phép)","Tùy theo số tiền","Nếu giá bán từ 10.000 yên trở lên thì có","Việc tự mình mua hàng ở nước ngoài rồi bán không phải là kinh doanh đồ cũ."
53,"Trong 3R của kỳ thi Reuse, thứ tự ưu tiên cao nhất là gì?","Recycle (Tái chế)","Reuse (Tái sử dụng)","Reduce (Giảm thiểu)","Tất cả như nhau","Thông thường 3R được ưu tiên theo thứ tự Reduce > Reuse > Recycle."
54,"Nghiệp vụ mà chủ chợ đồ cũ (kinh doanh loại 2) có thể thực hiện là gì?","Mua hàng từ khách hàng thông thường","Vận hành chợ để mua bán giữa các thương nhân đồ cũ","Cung cấp hệ thống đấu giá internet","Kinh doanh cửa hàng tái chế","Chủ chợ đồ cũ vận hành chợ để các thương nhân đồ cũ mua bán, trao đổi với nhau."
55,"Nội dung nghiệp vụ chính của người kinh doanh môi giới đấu giá đồ cũ (kinh doanh loại 3) là gì?","Mua bán đồ cũ","Cho thuê địa điểm chợ đồ cũ","Cung cấp hệ thống đấu giá (internet)","Kinh doanh cửa hàng tái chế","Đây là kinh doanh cung cấp hệ thống mua bán đồ cũ (đấu giá) qua internet."
56,"Khi nộp đơn xin cấp phép, cần bản sao hộ khẩu của ai?","Chỉ đại diện","Chỉ quản lý","Tất cả cán bộ và quản lý","Tất cả nhân viên","Đối với pháp nhân, cần bản sao hộ khẩu của tất cả cán bộ (bao gồm kiểm soát viên) và quản lý cửa hàng."
57,"Nếu bị phạt tiền do vi phạm Luật kinh doanh đồ cũ, không thể xin cấp phép trong bao nhiêu năm?","1 năm","2 năm","3 năm","5 năm","Nếu bị phạt tiền do một số tội (trộm cắp, vi phạm Luật kinh doanh đồ cũ), không thể xin cấp phép trong 5 năm."
58,"Khi thay đổi quản lý cửa hàng, phải thông báo thay đổi trong thời hạn nào?","Trước khi thay đổi","Trong 14 ngày kể từ ngày thay đổi","Trong 30 ngày kể từ ngày thay đổi","Ngay lập tức (trong 24 giờ)","Thay đổi quản lý phải thông báo cho Ủy ban An ninh công cộng qua đồn cảnh sát trong vòng 14 ngày."
59,"Hình phạt cho việc cho mượn tên (cho người khác kinh doanh bằng giấy phép của mình) là gì?","Chỉ lệnh chỉ thị","Chỉ đình chỉ kinh doanh","Tù dưới 1 năm","Tù dưới 3 năm hoặc phạt tiền dưới 1.000.000 yên","Cho mượn tên hoặc kinh doanh không phép bị phạt nặng nhất: tù dưới 3 năm hoặc phạt tiền dưới 1.000.000 yên."
60,"Khi mua đồ cũ từ pháp nhân, cần xác nhận thông tin gì của người phụ trách giao dịch?","Chỉ giấy chứng nhận đăng ký pháp nhân","Chỉ thẻ nhân viên của người phụ trách","Địa chỉ, họ tên, tuổi, nghề nghiệp của người phụ trách","Địa chỉ của đại diện pháp nhân","Dù là pháp nhân, vẫn cần xác nhận địa chỉ, họ tên, tuổi, nghề nghiệp của người phụ trách giao dịch thực tế."

61,"Khi cửa hàng tái sử dụng bán xe máy, mục nào KHÔNG cần ghi vào sổ sách?","Ngày bán","Đặc điểm của đồ cũ","Nghề nghiệp của đối tác","Thành phần gia đình của đối tác","Mục ghi khi bán: ngày bán, tên/số lượng/đặc điểm của đồ cũ, địa chỉ/họ tên/tuổi/nghề nghiệp của đối tác."
62,"Khi mua đồ cũ rồi tháo rời để bán linh kiện, có cần giấy phép kinh doanh đồ cũ không?","Cần","Không cần","Chỉ cần khi bán phần kim loại","Chỉ cần khi bán phần nhựa","Việc mua đồ cũ rồi bán linh kiện có thể sử dụng cũng thuộc kinh doanh đồ cũ."
63,"Khi bán thiết bị văn phòng đã sử dụng cho nhân viên với giá rẻ, có cần giấy phép thương nhân đồ cũ không?","Cần","Không cần","Cần nếu từ 5 chiếc trở lên","Cần nếu từ 10.000 yên trở lên","Việc bán vật phẩm đã sử dụng của mình không phải là kinh doanh, nên không cần giấy phép."
64,"Khi bán đồ điện gia dụng nhận miễn phí sau khi sửa chữa, có cần giấy phép thương nhân đồ cũ không?","Cần","Không cần","Tùy theo giá bán","Cần nếu có phí sửa chữa","Vật phẩm nhận miễn phí (không mua) không phải là kinh doanh đồ cũ."
65,"Khi thương nhân đồ cũ thực hiện hành thương, nhân viên phải mang theo gì?","Bản sao hộ khẩu","Bản gốc giấy phép","Thẻ nhân viên hành thương","Bằng lái xe","Khi nhân viên thực hiện hành thương, có nghĩa vụ mang theo thẻ nhân viên hành thương."
66,"Thời hạn hiệu lực của thẻ nhân viên hành thương là bao lâu?","1 năm","3 năm","5 năm","Không có quy định đặc biệt (miễn là còn là nhân viên)","Thẻ nhân viên hành thương không có thời hạn hiệu lực theo pháp luật, nhưng cần thu hồi khi nghỉ việc."
67,"Khi thương nhân đồ cũ thay đổi URL website, phải thông báo thay đổi trong thời hạn nào?","3 ngày trước khi thay đổi","Ngày thay đổi","Trong 14 ngày sau khi thay đổi","Trong 30 ngày sau khi thay đổi","Thay đổi URL cũng cần thông báo trong vòng 14 ngày sau khi thay đổi."
68,"Trường hợp nào cần nộp đơn xin cấp lại giấy phép?","Khi thay đổi địa chỉ đại diện","Khi thay đổi cán bộ pháp nhân","Khi mất giấy phép","Khi thay đổi quản lý","Khi mất hoặc hư hỏng giấy phép cần nộp đơn xin cấp lại. Các trường hợp khác xử lý bằng thông báo thay đổi."
69,"Phương pháp lưu giữ sổ sách theo Luật kinh doanh đồ cũ là gì?","Chỉ được dùng sổ giấy","Có thể dùng máy tính (hồ sơ điện tử)","Phải gửi cho đồn cảnh sát","Phải lưu giữ tại hiệp hội","Nếu đáp ứng một số điều kiện, có thể ghi chép và lưu giữ bằng máy tính."
70,"Trường hợp nào được miễn nghĩa vụ ghi sổ sách (không cần ghi)?","Tất cả trường hợp dưới 10.000 yên","Linh kiện dưới 10.000 yên","Phần mềm game dưới 10.000 yên","Không có trường hợp nào được miễn","Nếu tổng giá trị dưới 10.000 yên, được miễn nghĩa vụ ghi chép trừ một số mặt hàng ngoại lệ."

71,"Khi thương nhân đồ cũ vi phạm lệnh đình chỉ kinh doanh và tiếp tục kinh doanh, hậu quả là gì?","Bị cảnh cáo nghiêm khắc","Chỉ bị phạt tiền","Bị thu hồi giấy phép","Chỉ cần nộp bản kiểm điểm","Vi phạm lệnh đình chỉ kinh doanh là lý do thu hồi giấy phép."
72,"Đối tượng báo cáo nghĩa vụ báo cáo hàng gian là ai?","Trung tâm tiêu dùng","Cảnh sát","Tỉnh trưởng","Ủy ban thương mại công bằng","Khi nghi ngờ là hàng gian, phải báo ngay cho cảnh sát."
73,"Khi nhận được thông báo hàng nhưng không có hàng phù hợp, có cần lưu giữ thông báo hàng không?","Không cần","Lưu giữ 1 tháng","Lưu giữ 3 tháng","Lưu giữ 6 tháng","Dù không có hàng phù hợp, vẫn phải ghi ngày nhận và lưu giữ 6 tháng."
74,"Khi người chưa thành niên (chưa kết hôn) bán đồ cũ, cần lưu ý điều gì?","Tuyệt đối không được mua","Xác nhận giấy đồng ý của người giám hộ","Có thể mua nếu có giấy tờ tùy thân","Không cần đồng ý nếu dưới 10.000 yên","Theo luật dân sự, hành vi pháp lý của người chưa thành niên cần sự đồng ý của người đại diện theo pháp luật, cũng cần lưu ý điều lệ bảo vệ thanh thiếu niên."
75,"Người kinh doanh môi giới đấu giá đồ cũ (người vận hành đấu giá mạng) khi phát hiện hàng ăn cắp được đăng bán có nghĩa vụ gì?","Nghĩa vụ báo cảnh sát (bao gồm nghĩa vụ nỗ lực)","Chỉ cảnh báo người bán","Hoàn tiền cho người mua","Tự mua hàng","Người kinh doanh môi giới đấu giá khi nghi ngờ có hàng ăn cắp phải nỗ lực thực hiện các biện pháp được công nhận như báo cảnh sát (nghĩa vụ nỗ lực)."
76,"Giao dịch nào thuộc đối tượng quy định của Luật giao dịch thương mại đặc định?","Giao dịch giữa doanh nghiệp (BtoB)","Bán hàng tại cửa hàng","Bán hàng qua mạng hoặc bán hàng tại nhà (BtoC)","Giao dịch với nước ngoài","Bán hàng qua internet (bán hàng từ xa) hoặc mua hàng tại nhà thuộc đối tượng quy định của Luật giao dịch thương mại đặc định."
77,"Mục nào KHÔNG thuộc nghĩa vụ hiển thị theo Luật giao dịch thương mại đặc định trên website bán hàng qua internet?","Giá bán","Thời điểm thanh toán","Nhóm máu của doanh nghiệp","Thời điểm giao hàng","Cần hiển thị tên (danh xưng), địa chỉ, số điện thoại, giá cả, thời điểm thanh toán, thời điểm giao hàng của doanh nghiệp."
78,"Khi người kinh doanh mua hàng tại nhà bán hàng cho bên thứ ba trong thời gian Cooling-off, chủ cũ sẽ như thế nào?","Mất quyền sở hữu","Có thể yêu cầu bên thứ ba trả lại (đối kháng)","Chỉ có thể chịu thiệt","Chỉ được hoàn lại một nửa","Trong thời gian Cooling-off, nếu hàng được chuyển cho bên thứ ba, người tiêu dùng có thể yêu cầu bên thứ ba đó trả lại hàng."
79,"Có thể bán đồ điện gia dụng không có nhãn PSE (Luật an toàn đồ điện) không?","Có thể","Không thể","Có thể nếu là hàng junk","Có thể nếu là đồ cổ","Sản phẩm thuộc đối tượng của Luật an toàn đồ điện không thể bán (bao gồm trưng bày) nếu không có nhãn PSE."
80,"Sự khác biệt giữa sản phẩm đặc định và sản phẩm đặc định đặc biệt của Luật an toàn sản phẩm tiêu dùng (nhãn PSC) là gì?","Hình dạng nhãn (tròn hoặc hình thoi)","Nước sản xuất","Giá cả","Kênh bán hàng","Sản phẩm đặc định có nhãn PSC tròn, sản phẩm đặc định đặc biệt có độ nguy hiểm cao hơn có nhãn PSC hình thoi."

81,"Bật lửa (loại dùng một lần) thuộc phân loại nào trong chế độ nhãn PSC?","Không thuộc đối tượng","Sản phẩm đặc định (tròn)","Sản phẩm đặc định đặc biệt (hình thoi)","Sản phẩm khuyến nghị","Bật lửa được chỉ định là sản phẩm đặc định đặc biệt, bắt buộc phải có nhãn PSC hình thoi."
82,"Khi bán lò sưởi dầu, cần nhãn PSC hình dạng nào?","Tròn (sản phẩm đặc định)","Hình thoi (sản phẩm đặc định đặc biệt)","Vuông","Tam giác","Lò sưởi dầu là sản phẩm đặc định đặc biệt, cần nhãn PSC hình thoi."
83,"Khi cửa hàng tái sử dụng bán thiết bị y tế, cần giấy phép nào?","Chỉ cần giấy phép thương nhân đồ cũ","Cần thông báo/giấy phép cho cơ quan y tế","Cần giấy phép bác sĩ","Cần có dược sĩ thường trực","Để bán thiết bị y tế quản lý, ngoài giấy phép thương nhân đồ cũ còn cần thông báo hoặc giấy phép theo Luật dược phẩm và thiết bị y tế."
84,"Tiêu chuẩn số tiền cho giao dịch rủi ro cao cần lập hồ sơ xác minh danh tính và hồ sơ giao dịch theo Luật phòng chống chuyển tiền tội phạm?","Giao dịch tiền mặt trên 1.000.000 yên","Giao dịch tiền mặt trên 2.000.000 yên","Tất cả giao dịch kim loại quý","Giao dịch thẻ tín dụng trên 2.000.000 yên","Áp dụng cho giao dịch tiền mặt trên 2.000.000 yên khi mua bán kim loại quý."
85,"Khi thu hồi 4 loại đồ gia dụng thuộc đối tượng Luật tái chế đồ gia dụng, phải phát hành giấy tờ gì cho người thải bỏ (khách)?","Phiếu tái chế đồ gia dụng (phiếu quản lý)","Giấy chứng nhận thải bỏ","Chỉ biên lai","Giấy đăng ký xe","Khi thu hồi 4 loại đối tượng, phải phát hành phiếu tái chế đồ gia dụng (phiếu quản lý) và lưu giữ bản sao."
86,"Khi thải bỏ máy tính cũ không có nhãn tái chế PC, ai chịu phí thu hồi tái chế?","Nhà sản xuất","Nhà nước","Người thải bỏ (chủ sở hữu)","Cửa hàng tái sử dụng","Máy tính không có nhãn, người thải bỏ (chủ sở hữu) phải chịu phí thu hồi tái chế khi thải bỏ."
87,"Mục nào thuộc mã nhận dạng cá nhân theo Luật bảo vệ thông tin cá nhân?","Dữ liệu vân tay hoặc số hộ chiếu","Chỉ địa chỉ email","Chỉ số điện thoại","Địa chỉ cửa hàng","Dữ liệu vân tay, xác thực tĩnh mạch, số My Number, số bằng lái xe, số hộ chiếu thuộc mã nhận dạng cá nhân."
88,"Ngoài vi phạm Luật kinh doanh đồ cũ, trường hợp nào có thể bị thu hồi giấy phép thương nhân đồ cũ?","Vi phạm giao thông","Không trả thuế","Phạm tội trộm cắp","Tranh chấp dân sự","Nếu phạm một số tội như trộm cắp, lừa đảo, vi phạm Luật kinh doanh đồ cũ và bị phạt tiền, có thể bị thu hồi giấy phép."